Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,-1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,-1.03,0.00,0.00,0.00,0.00,5.72,0.00,0.00,0.00,0.00
2,-0.46,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
3,0.11,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
4,0.69,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
5,1.26,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
6,1.83,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
7,2.41,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
8,2.98,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
9,3.55,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
10,4.13,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
11,4.70,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
12,5.27,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
13,5.84,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
14,6.42,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
15,6.99,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
16,7.56,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
17,8.14,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
18,8.71,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
19,9.28,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
20,9.85,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
21,10.43,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
22,11.00,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
23,11.57,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
24,12.15,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
25,12.72,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
26,13.29,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
27,13.87,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
28,14.44,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
29,15.01,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
30,15.58,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
31,16.16,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
32,16.73,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
33,17.30,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
34,17.88,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
35,18.45,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
36,19.02,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
37,19.59,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
38,20.17,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
39,20.74,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
40,21.31,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
41,21.89,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
42,22.46,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
43,23.03,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
44,23.61,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
45,24.18,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
46,24.75,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
47,25.32,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
48,25.90,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
49,26.47,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
50,27.04,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
51,27.62,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
52,28.19,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
53,28.76,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
54,29.34,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
55,29.91,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
56,30.48,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
57,31.05,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
58,31.63,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
59,32.20,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
60,32.77,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
61,33.35,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
62,33.92,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
63,34.49,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
64,35.06,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
65,35.64,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
66,36.21,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
67,36.78,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
68,37.36,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
69,37.93,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
70,38.50,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
71,39.08,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
72,39.65,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
73,40.22,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
74,40.79,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
75,41.37,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
76,41.94,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
77,42.51,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
78,43.09,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
79,43.66,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
80,44.23,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
81,44.81,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
82,45.38,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
83,45.95,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
84,46.52,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
85,47.10,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
86,47.67,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
87,48.24,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
88,48.82,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
89,49.39,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
90,49.96,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
91,50.53,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
