Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
2,0.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
3,1.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
4,1.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
5,2.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
6,2.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
7,3.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
8,3.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
9,4.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
10,4.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
11,5.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
12,5.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
13,6.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
14,6.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
15,7.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
16,7.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
17,8.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
18,8.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
19,9.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
20,9.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
21,10.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
22,10.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
23,11.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
24,11.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
25,12.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
26,12.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
27,13.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
28,13.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
29,14.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
30,14.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
31,15.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
32,15.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
33,16.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
34,16.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
35,17.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
36,17.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
37,18.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
38,18.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
39,19.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
40,19.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
41,20.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
42,20.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
43,21.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
44,21.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
45,22.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
46,22.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
47,23.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
48,23.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
49,24.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
50,24.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
51,25.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
52,25.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
53,26.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
54,26.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
55,27.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
56,27.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
57,28.19,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
58,28.69,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
59,29.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
60,29.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
61,30.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
62,30.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
63,31.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
64,31.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
65,32.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
66,32.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
67,33.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
68,33.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
69,34.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
70,34.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
71,35.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
72,35.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
73,36.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
74,36.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
75,37.20,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
76,37.70,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
