Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
73,-41.69,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
74,-41.12,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
75,-40.55,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
76,-39.97,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
77,-39.40,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
78,-38.83,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
79,-38.25,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
80,-37.68,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
81,-37.11,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
82,-36.54,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
83,-35.96,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
84,-35.39,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
85,-34.82,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
86,-34.24,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
87,-33.67,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
88,-33.10,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
89,-32.53,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
90,-31.95,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
91,-31.38,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
92,-30.81,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
93,-30.23,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
94,-29.66,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
95,-29.09,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
96,-28.51,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
97,-27.94,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
98,-27.37,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
