Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,92.99,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1,92.70,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
2,92.13,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
3,91.56,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
4,90.98,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
5,90.41,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
6,89.84,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
7,89.26,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
8,88.69,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
9,88.12,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
10,87.54,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
11,86.97,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
12,86.40,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
13,85.83,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
14,85.25,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
15,84.68,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
16,84.11,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
17,83.53,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
18,82.96,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
19,82.39,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
20,81.82,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
21,81.24,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
22,80.67,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
23,80.10,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
24,79.52,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
25,78.95,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
26,78.38,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
27,77.80,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
28,77.23,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
29,76.66,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
30,76.09,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
31,75.51,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
32,74.94,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
33,74.37,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
34,73.79,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
35,73.22,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
36,72.65,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
37,72.08,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
38,71.50,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
39,70.93,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
40,70.36,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
41,69.78,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
42,69.21,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
43,68.64,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
44,68.06,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
45,67.49,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
46,66.92,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
47,66.35,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
48,65.77,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
49,65.20,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
50,64.63,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
51,64.05,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
52,63.48,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
53,62.91,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
54,62.33,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
55,61.76,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
56,61.19,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
57,60.62,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
58,60.04,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
59,59.47,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
60,58.90,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
61,58.32,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
62,57.75,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
63,57.18,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
64,56.61,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
65,56.03,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
66,55.46,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
67,54.89,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
68,54.31,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
69,53.74,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
70,53.17,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
71,52.59,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
72,52.02,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
73,51.45,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
74,50.88,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
75,50.30,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
76,49.73,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
77,49.16,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
78,48.58,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
79,48.01,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
80,47.44,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
81,46.86,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
82,46.29,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
83,45.72,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
84,45.15,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
85,44.57,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
86,44.00,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
87,43.43,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
88,42.85,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
89,42.28,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
90,41.71,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
91,41.14,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
92,40.56,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
93,39.99,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
94,39.42,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
95,38.84,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
96,38.27,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
97,37.70,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
98,37.12,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
99,36.55,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
100,35.98,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
101,35.41,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
102,34.83,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
103,34.26,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
104,33.69,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
105,33.11,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
106,32.54,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
107,31.97,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
108,31.40,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
109,30.82,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
110,30.25,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
111,29.68,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
112,29.10,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
113,28.53,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
114,27.96,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
115,27.38,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
116,26.81,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
117,26.24,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
118,25.67,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
119,25.09,0.00,0.00,0.00,0.00,-5.73,0.00,0.00,0.00,0.00
