Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,94.83,-44.01,-20.69,84.51,40.92,0.00,0.00,0.00,-0.00,-0.00
1,95.05,-43.73,-20.59,84.35,40.78,4.26,5.72,2.04,-3.23,-2.80
2,95.47,-43.15,-20.38,84.03,40.50,4.27,5.73,2.05,-3.24,-2.81
3,95.90,-42.58,-20.18,83.70,40.22,4.27,5.73,2.05,-3.24,-2.81
4,96.33,-42.01,-19.97,83.38,39.94,4.27,5.73,2.05,-3.24,-2.81
5,96.75,-41.43,-19.77,83.05,39.66,4.27,5.73,2.05,-3.24,-2.81
6,97.18,-40.86,-19.56,82.73,39.38,4.27,5.73,2.05,-3.24,-2.81
7,97.61,-40.29,-19.36,82.41,39.10,4.27,5.73,2.05,-3.24,-2.81
8,98.03,-39.71,-19.15,82.08,38.82,4.27,5.73,2.05,-3.24,-2.81
9,98.46,-39.14,-18.95,81.76,38.54,4.27,5.73,2.05,-3.24,-2.81
10,98.89,-38.57,-18.74,81.43,38.26,4.27,5.73,2.05,-3.24,-2.81
11,99.31,-38.00,-18.54,81.11,37.98,4.27,5.73,2.05,-3.24,-2.81
12,99.74,-37.42,-18.33,80.79,37.70,4.27,5.73,2.05,-3.24,-2.81
13,100.17,-36.85,-18.13,80.46,37.41,4.27,5.73,2.05,-3.24,-2.81
14,100.60,-36.28,-17.92,80.14,37.13,4.27,5.73,2.05,-3.24,-2.81
15,101.02,-35.70,-17.72,79.82,36.85,4.27,5.73,2.05,-3.24,-2.81
16,101.45,-35.13,-17.51,79.49,36.57,4.27,5.73,2.05,-3.24,-2.81
17,101.88,-34.56,-17.31,79.17,36.29,4.27,5.73,2.05,-3.24,-2.81
18,102.30,-33.99,-17.10,78.84,36.01,4.27,5.73,2.05,-3.24,-2.81
19,102.73,-33.41,-16.90,78.52,35.73,4.27,5.73,2.05,-3.24,-2.81
20,103.16,-32.84,-16.69,78.20,35.45,4.27,5.73,2.05,-3.24,-2.81
21,103.58,-32.27,-16.49,77.87,35.17,4.27,5.73,2.05,-3.24,-2.81
22,104.01,-31.69,-16.28,77.55,34.89,4.27,5.73,2.05,-3.24,-2.81
23,104.44,-31.12,-16.08,77.22,34.61,4.27,5.73,2.05,-3.24,-2.81
24,104.86,-30.55,-15.87,76.90,34.33,4.27,5.73,2.05,-3.24,-2.81
25,105.29,-29.97,-15.67,76.58,34.05,4.27,5.73,2.05,-3.24,-2.81
26,105.72,-29.40,-15.46,76.25,33.77,4.27,5.73,2.05,-3.24,-2.81
27,106.14,-28.83,-15.26,75.93,33.48,4.27,5.73,2.05,-3.24,-2.81
28,106.57,-28.26,-15.05,75.60,33.20,4.27,5.73,2.05,-3.24,-2.81
29,107.00,-27.68,-14.85,75.28,32.92,4.27,5.73,2.05,-3.24,-2.81
30,107.42,-27.11,-14.64,74.96,32.64,4.27,5.73,2.05,-3.24,-2.81
31,107.85,-26.54,-14.44,74.63,32.36,4.27,5.73,2.05,-3.24,-2.81
32,108.28,-25.96,-14.23,74.31,32.08,4.27,5.73,2.05,-3.24,-2.81
33,108.70,-25.39,-14.03,73.98,31.80,4.27,5.73,2.05,-3.24,-2.81
34,109.13,-24.82,-13.82,73.66,31.52,4.27,5.73,2.05,-3.24,-2.81
35,109.56,-24.24,-13.62,73.34,31.24,4.27,5.73,2.05,-3.24,-2.81
36,109.98,-23.67,-13.41,73.01,30.96,4.27,5.73,2.05,-3.24,-2.81
37,110.41,-23.10,-13.21,72.69,30.68,4.27,5.73,2.05,-3.24,-2.81
38,110.84,-22.53,-13.00,72.36,30.40,4.27,5.73,2.05,-3.24,-2.81
39,111.26,-21.95,-12.80,72.04,30.12,4.27,5.73,2.05,-3.24,-2.81
40,111.69,-21.38,-12.59,71.72,29.84,4.27,5.73,2.05,-3.24,-2.81
41,112.12,-20.81,-12.39,71.39,29.56,4.27,5.73,2.05,-3.24,-2.81
42,112.54,-20.23,-12.18,71.07,29.27,4.27,5.73,2.05,-3.24,-2.81
43,112.97,-19.66,-11.98,70.75,28.99,4.27,5.73,2.05,-3.24,-2.81
44,113.40,-19.09,-11.77,70.42,28.71,4.27,5.73,2.05,-3.24,-2.81
45,113.82,-18.52,-11.57,70.10,28.43,4.27,5.73,2.05,-3.24,-2.81
46,114.25,-17.94,-11.36,69.77,28.15,4.27,5.73,2.05,-3.24,-2.81
47,114.68,-17.37,-11.16,69.45,27.87,4.27,5.73,2.05,-3.24,-2.81
48,115.10,-16.80,-10.95,69.13,27.59,4.27,5.73,2.05,-3.24,-2.81
49,115.53,-16.22,-10.75,68.80,27.31,4.27,5.73,2.05,-3.24,-2.81
50,115.96,-15.65,-10.54,68.48,27.03,4.27,5.73,2.05,-3.24,-2.81
51,116.38,-15.08,-10.34,68.15,26.75,4.27,5.73,2.05,-3.24,-2.81
52,116.81,-14.50,-10.13,67.83,26.47,4.27,5.73,2.05,-3.24,-2.81
53,117.24,-13.93,-9.93,67.51,26.19,4.27,5.73,2.05,-3.24,-2.81
54,117.66,-13.36,-9.72,67.18,25.91,4.27,5.73,2.05,-3.24,-2.81
55,118.09,-12.79,-9.52,66.86,25.63,4.27,5.73,2.05,-3.24,-2.81
56,118.52,-12.21,-9.31,66.53,25.35,4.27,5.73,2.05,-3.24,-2.81
57,118.94,-11.64,-9.11,66.21,25.06,4.27,5.73,2.05,-3.24,-2.81
58,119.37,-11.07,-8.91,65.89,24.78,4.27,5.73,2.05,-3.24,-2.81
59,119.80,-10.49,-8.70,65.56,24.50,4.27,5.73,2.05,-3.24,-2.81
60,120.23,-9.92,-8.50,65.24,24.22,4.27,5.73,2.05,-3.24,-2.81
61,120.65,-9.35,-8.29,64.91,23.94,4.27,5.73,2.05,-3.24,-2.81
62,121.08,-8.78,-8.09,64.59,23.66,4.27,5.73,2.05,-3.24,-2.81
63,121.51,-8.20,-7.88,64.27,23.38,4.27,5.73,2.05,-3.24,-2.81
64,121.93,-7.63,-7.68,63.94,23.10,4.27,5.73,2.05,-3.24,-2.81
65,122.36,-7.06,-7.47,63.62,22.82,4.27,5.73,2.05,-3.24,-2.81
66,122.79,-6.48,-7.27,63.29,22.54,4.27,5.73,2.05,-3.24,-2.81
67,123.21,-5.91,-7.06,62.97,22.26,4.27,5.73,2.05,-3.24,-2.81
68,123.64,-5.34,-6.86,62.65,21.98,4.27,5.73,2.05,-3.24,-2.81
69,124.07,-4.76,-6.65,62.32,21.70,4.27,5.73,2.05,-3.24,-2.81
70,124.49,-4.19,-6.45,62.00,21.42,4.27,5.73,2.05,-3.24,-2.81
71,124.92,-3.62,-6.24,61.68,21.13,4.27,5.73,2.05,-3.24,-2.81
72,125.35,-3.05,-6.04,61.35,20.85,4.27,5.73,2.05,-3.24,-2.81
73,125.77,-2.47,-5.83,61.03,20.57,4.27,5.73,2.05,-3.24,-2.81
74,126.20,-1.90,-5.63,60.70,20.29,4.27,5.73,2.05,-3.24,-2.81
75,126.63,-1.33,-5.42,60.38,20.01,4.27,5.73,2.05,-3.24,-2.81
76,127.05,-0.75,-5.22,60.06,19.73,4.27,5.73,2.05,-3.24,-2.81
77,127.48,-0.18,-5.01,59.73,19.45,4.27,5.73,2.05,-3.24,-2.81
78,127.91,0.39,-4.81,59.41,19.17,4.27,5.73,2.05,-3.24,-2.81
79,128.33,0.97,-4.60,59.08,18.89,4.27,5.73,2.05,-3.24,-2.81
80,128.76,1.54,-4.40,58.76,18.61,4.27,5.73,2.05,-3.24,-2.81
81,129.19,2.11,-4.19,58.44,18.33,4.27,5.73,2.05,-3.24,-2.81
82,129.61,2.68,-3.99,58.11,18.05,4.27,5.73,2.05,-3.24,-2.81
83,130.04,3.26,-3.78,57.79,17.77,4.27,5.73,2.05,-3.24,-2.81
84,130.47,3.83,-3.58,57.46,17.49,4.27,5.73,2.05,-3.24,-2.81
85,130.89,4.40,-3.37,57.14,17.21,4.27,5.73,2.05,-3.24,-2.81
86,131.32,4.98,-3.17,56.82,16.92,4.27,5.73,2.05,-3.24,-2.81
87,131.75,5.55,-2.96,56.49,16.64,4.27,5.73,2.05,-3.24,-2.81
88,132.17,6.12,-2.76,56.17,16.36,4.27,5.73,2.05,-3.24,-2.81
89,132.60,6.69,-2.55,55.84,16.08,4.27,5.73,2.05,-3.24,-2.81
90,133.03,7.27,-2.35,55.52,15.80,4.27,5.73,2.05,-3.24,-2.81
91,133.45,7.84,-2.14,55.20,15.52,4.27,5.73,2.05,-3.24,-2.81
92,133.88,8.41,-1.94,54.87,15.24,4.27,5.73,2.05,-3.24,-2.81
93,134.31,8.99,-1.73,54.55,14.96,4.27,5.73,2.05,-3.24,-2.81
94,134.73,9.56,-1.53,54.22,14.68,4.27,5.73,2.05,-3.24,-2.81
95,135.16,10.13,-1.32,53.90,14.40,4.27,5.73,2.05,-3.24,-2.81
96,135.59,10.71,-1.12,53.58,14.12,4.27,5.73,2.05,-3.24,-2.81
97,136.01,11.28,-0.91,53.25,13.84,4.27,5.73,2.05,-3.24,-2.81
98,136.44,11.85,-0.71,52.93,13.56,4.27,5.73,2.05,-3.24,-2.81
99,136.87,12.42,-0.50,52.61,13.28,4.27,5.73,2.05,-3.24,-2.81
100,137.29,13.00,-0.30,52.28,12.99,4.27,5.73,2.05,-3.24,-2.81
101,137.72,13.57,-0.09,51.96,12.71,4.27,5.73,2.05,-3.24,-2.81
102,138.15,14.14,0.11,51.63,12.43,4.27,5.73,2.05,-3.24,-2.81
103,138.58,14.72,0.32,51.31,12.15,4.27,5.73,2.05,-3.24,-2.81
104,139.00,15.29,0.52,50.99,11.87,4.27,5.73,2.05,-3.24,-2.81
105,139.43,15.86,0.73,50.66,11.59,4.27,5.73,2.05,-3.24,-2.81
106,139.86,16.44,0.93,50.34,11.31,4.27,5.73,2.05,-3.24,-2.81
107,140.28,17.01,1.14,50.01,11.03,4.27,5.73,2.05,-3.24,-2.81
108,140.71,17.58,1.34,49.69,10.75,4.27,5.73,2.05,-3.24,-2.81
109,141.14,18.15,1.55,49.37,10.47,4.27,5.73,2.05,-3.24,-2.81
110,141.56,18.73,1.75,49.04,10.19,4.27,5.73,2.05,-3.24,-2.81
111,141.99,19.30,1.96,48.72,9.91,4.27,5.73,2.05,-3.24,-2.81
112,142.42,19.87,2.16,48.39,9.63,4.27,5.73,2.05,-3.24,-2.81
113,142.84,20.45,2.37,48.07,9.35,4.27,5.73,2.05,-3.24,-2.81
114,143.27,21.02,2.57,47.75,9.07,4.27,5.73,2.05,-3.24,-2.81
115,143.70,21.59,2.78,47.42,8.78,4.27,5.73,2.05,-3.24,-2.81
116,144.12,22.16,2.98,47.10,8.50,4.27,5.73,2.05,-3.24,-2.81
117,144.55,22.74,3.19,46.77,8.22,4.27,5.73,2.05,-3.24,-2.81
118,144.98,23.31,3.39,46.45,7.94,4.27,5.73,2.05,-3.24,-2.81
119,145.40,23.88,3.60,46.13,7.66,4.27,5.73,2.05,-3.24,-2.81
120,145.83,24.46,3.80,45.80,7.38,4.27,5.73,2.05,-3.24,-2.81
121,146.26,25.03,4.00,45.48,7.10,4.27,5.73,2.05,-3.24,-2.81
122,146.68,25.60,4.21,45.16,6.82,4.27,5.73,2.05,-3.24,-2.81
123,147.11,26.18,4.41,44.83,6.54,4.27,5.73,2.05,-3.24,-2.81
124,147.54,26.75,4.62,44.51,6.26,4.27,5.73,2.05,-3.24,-2.81
125,147.96,27.32,4.82,44.18,5.98,4.27,5.73,2.05,-3.24,-2.81
126,148.39,27.89,5.03,43.86,5.70,4.27,5.73,2.05,-3.24,-2.81
127,148.82,28.47,5.23,43.54,5.42,4.27,5.73,2.05,-3.24,-2.81
128,149.24,29.04,5.44,43.21,5.14,4.27,5.73,2.05,-3.24,-2.81
129,149.67,29.61,5.64,42.89,4.86,4.27,5.73,2.05,-3.24,-2.81
130,150.10,30.19,5.85,42.56,4.57,4.27,5.73,2.05,-3.24,-2.81
131,150.52,30.76,6.05,42.24,4.29,4.27,5.73,2.05,-3.24,-2.81
132,150.95,31.33,6.26,41.92,4.01,4.27,5.73,2.05,-3.24,-2.81
133,151.38,31.90,6.46,41.59,3.73,4.27,5.73,2.05,-3.24,-2.81
134,151.80,32.48,6.67,41.27,3.45,4.27,5.73,2.05,-3.24,-2.81
135,152.23,33.05,6.87,40.94,3.17,4.27,5.73,2.05,-3.24,-2.81
136,152.66,33.62,7.08,40.62,2.89,4.27,5.73,2.05,-3.24,-2.81
137,153.08,34.20,7.28,40.30,2.61,4.27,5.73,2.05,-3.24,-2.81
138,153.51,34.77,7.49,39.97,2.33,4.27,5.73,2.05,-3.24,-2.81
139,153.94,35.34,7.69,39.65,2.05,4.27,5.73,2.05,-3.24,-2.81
140,154.36,35.92,7.90,39.32,1.77,4.27,5.73,2.05,-3.24,-2.81
141,154.79,36.49,8.10,39.00,1.49,4.27,5.73,2.05,-3.24,-2.81
142,155.22,37.06,8.31,38.68,1.21,4.27,5.73,2.05,-3.24,-2.81
143,155.64,37.63,8.51,38.35,0.93,4.27,5.73,2.05,-3.24,-2.81
144,156.07,38.21,8.72,38.03,0.64,4.27,5.73,2.05,-3.24,-2.81
145,156.50,38.78,8.92,37.70,0.36,4.27,5.73,2.05,-3.24,-2.81
146,156.93,39.35,9.13,37.38,0.08,4.27,5.73,2.05,-3.24,-2.81
147,157.35,39.93,9.33,37.06,-0.20,4.27,5.73,2.05,-3.24,-2.81
148,157.78,40.50,9.54,36.73,-0.48,4.27,5.73,2.05,-3.24,-2.81
149,158.21,41.07,9.74,36.41,-0.76,4.27,5.73,2.05,-3.24,-2.81
150,158.63,41.65,9.95,36.09,-1.04,4.27,5.73,2.05,-3.24,-2.81
151,159.06,42.22,10.15,35.76,-1.32,4.27,5.73,2.05,-3.24,-2.81
152,159.49,42.79,10.36,35.44,-1.60,4.27,5.73,2.05,-3.24,-2.81
153,159.91,43.36,10.56,35.11,-1.88,4.27,5.73,2.05,-3.24,-2.81
