Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, -132.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1, -132.16, 0.00, 0.00, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00
2, -132.07, 0.00, 0.00, 0.00, 0.00, 1.15, 0.00, 0.00, 0.00, 0.00
3, -131.93, 0.00, 0.00, 0.00, 0.00, 1.72, 0.00, 0.00, 0.00, 0.00
4, -131.73, 0.00, 0.00, 0.00, 0.00, 2.29, 0.00, 0.00, 0.00, 0.00
5, -131.47, 0.00, 0.00, 0.00, 0.00, 2.86, 0.00, 0.00, 0.00, 0.00
6, -131.16, 0.00, 0.00, 0.00, 0.00, 3.44, 0.00, 0.00, 0.00, 0.00
7, -130.78, 0.00, 0.00, 0.00, 0.00, 4.01, 0.00, 0.00, 0.00, 0.00
8, -130.35, 0.00, 0.00, 0.00, 0.00, 4.58, 0.00, 0.00, 0.00, 0.00
9, -129.87, 0.00, 0.00, 0.00, 0.00, 5.16, 0.00, 0.00, 0.00, 0.00
10, -129.32, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
11, -128.75, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
12, -128.18, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
13, -127.60, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
14, -127.03, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
15, -126.46, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
16, -125.89, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
17, -125.31, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
18, -124.74, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
19, -124.17, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
20, -123.59, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
21, -123.02, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
22, -122.45, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
23, -121.87, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
24, -121.30, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
25, -120.73, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
26, -120.16, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
27, -119.58, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
28, -119.01, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
29, -118.44, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
30, -117.86, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
31, -117.29, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
32, -116.72, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
33, -116.15, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
34, -115.57, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
35, -115.00, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
36, -114.43, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
37, -113.85, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
38, -113.28, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
39, -112.71, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
40, -112.13, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
41, -111.56, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
42, -110.99, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
43, -110.42, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
44, -109.84, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
45, -109.27, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
46, -108.70, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
47, -108.12, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
48, -107.55, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
49, -106.98, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
50, -106.40, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
51, -105.83, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
52, -105.26, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
53, -104.69, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
54, -104.11, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
55, -103.54, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
56, -102.97, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
57, -102.39, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
58, -101.82, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
59, -101.25, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
60, -100.68, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
61, -100.10, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
62, -99.53, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
63, -98.96, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
64, -98.38, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
65, -97.81, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
66, -97.24, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
67, -96.66, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
68, -96.09, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
69, -95.52, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
70, -94.95, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
71, -94.37, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
72, -93.80, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
73, -93.23, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
74, -92.65, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
75, -92.08, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
76, -91.51, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
77, -90.94, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
78, -90.36, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
79, -89.79, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
80, -89.22, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
81, -88.64, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
82, -88.07, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
