Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, 74.62, 0.00, 0.00, 0.00, 0.00, -0.00, 0.00, 0.00, 0.00, 0.00
1, 74.33, 0.00, 0.00, 0.00, 0.00, -5.72, 0.00, 0.00, 0.00, 0.00
2, 73.76, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
3, 73.19, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
4, 72.61, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
5, 72.04, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
6, 71.47, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
7, 70.89, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
8, 70.32, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
9, 69.75, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
10, 69.18, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
11, 68.60, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
12, 68.03, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
13, 67.46, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
14, 66.88, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
15, 66.31, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
16, 65.74, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
17, 65.17, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
18, 64.59, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
19, 64.02, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
20, 63.45, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
21, 62.87, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
22, 62.30, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
23, 61.73, 0.00, 0.00, 0.00, 0.00, -5.73, 0.00, 0.00, 0.00, 0.00
