Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,42.72,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00
1,42.65,0.13,0.29,-0.04,0.07,-1.21,2.59,5.72,-0.72,1.37
2,42.53,0.39,0.86,-0.11,0.21,-1.21,2.60,5.73,-0.72,1.38
3,42.41,0.65,1.43,-0.18,0.34,-1.21,2.60,5.73,-0.72,1.38
4,42.29,0.91,2.01,-0.25,0.48,-1.21,2.60,5.73,-0.72,1.38
5,42.17,1.17,2.58,-0.32,0.62,-1.21,2.60,5.73,-0.72,1.38
6,42.05,1.43,3.15,-0.40,0.76,-1.21,2.60,5.73,-0.72,1.38
7,41.93,1.69,3.72,-0.47,0.89,-1.21,2.60,5.73,-0.72,1.38
8,41.81,1.95,4.30,-0.54,1.03,-1.21,2.60,5.73,-0.72,1.38
9,41.69,2.21,4.87,-0.61,1.17,-1.21,2.60,5.73,-0.72,1.38
10,41.57,2.47,5.44,-0.68,1.31,-1.21,2.60,5.73,-0.72,1.38
11,41.45,2.73,6.02,-0.76,1.44,-1.21,2.60,5.73,-0.72,1.38
12,41.33,2.99,6.59,-0.83,1.58,-1.21,2.60,5.73,-0.72,1.38
13,41.21,3.25,7.16,-0.90,1.72,-1.21,2.60,5.73,-0.72,1.38
14,41.08,3.50,7.73,-0.97,1.86,-1.21,2.60,5.73,-0.72,1.38
15,40.96,3.76,8.31,-1.04,1.99,-1.21,2.60,5.73,-0.72,1.38
16,40.84,4.02,8.88,-1.12,2.13,-1.21,2.60,5.73,-0.72,1.38
17,40.72,4.28,9.45,-1.19,2.27,-1.21,2.60,5.73,-0.72,1.38
18,40.60,4.54,10.03,-1.26,2.41,-1.21,2.60,5.73,-0.72,1.38
19,40.48,4.80,10.60,-1.33,2.54,-1.21,2.60,5.73,-0.72,1.38
20,40.36,5.06,11.17,-1.40,2.68,-1.21,2.60,5.73,-0.72,1.38
21,40.24,5.32,11.75,-1.48,2.82,-1.21,2.60,5.73,-0.72,1.38
22,40.12,5.58,12.32,-1.55,2.96,-1.21,2.60,5.73,-0.72,1.38
23,40.00,5.84,12.89,-1.62,3.09,-1.21,2.60,5.73,-0.72,1.38
24,39.88,6.10,13.46,-1.69,3.23,-1.21,2.60,5.73,-0.72,1.38
25,39.76,6.36,14.04,-1.76,3.37,-1.21,2.60,5.73,-0.72,1.38
26,39.63,6.62,14.61,-1.84,3.51,-1.21,2.60,5.73,-0.72,1.38
27,39.51,6.88,15.18,-1.91,3.64,-1.21,2.60,5.73,-0.72,1.38
28,39.39,7.14,15.76,-1.98,3.78,-1.21,2.60,5.73,-0.72,1.38
29,39.27,7.40,16.33,-2.05,3.92,-1.21,2.60,5.73,-0.72,1.38
30,39.15,7.66,16.90,-2.12,4.06,-1.21,2.60,5.73,-0.72,1.38
31,39.03,7.92,17.48,-2.20,4.20,-1.21,2.60,5.73,-0.72,1.38
