Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,164.62,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1,164.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
2,163.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
3,163.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
4,162.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
5,162.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
6,161.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
7,161.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
8,160.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
9,160.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
10,159.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
11,159.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
12,158.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
13,158.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
14,157.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
15,157.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
16,156.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
17,156.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
18,155.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
19,155.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
20,154.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
21,154.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
22,153.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
23,153.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
24,152.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
25,152.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
26,151.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
27,151.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
28,150.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
29,150.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
30,149.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
31,149.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
32,148.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
33,148.34,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
34,147.84,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00
